#VARIABLE,SUBVAR,NAME,SHORTNAME,COMMENT,MAXIMUM,MINIMUM,ACCURACY,ELECCHARGE,MOLAREQUIV,CASREF,MEASMETHOD,MAPVAR,VARTRACE,CATEGORY1,CATEGORY2,DBVER22,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD
350,0,Sampler Initialisation,Sampler Initialise,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
351,0,Sampler Reset,Sampler Reset,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
400,0,Dry Bulb Temperature,Dry Temp. (Deg.C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
405,0,Wet Bulb Temperature,Wet Temp. (Deg.C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
410,0,Wet Bulb Temperature,Wet Temp. (Deg.C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
415,0,Wet Bulb Temperature,Wet Temp. (Deg.C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
420,0,Dew Point,Dew Point,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
430,0,Humidity,Humidity (%),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
440,0,Soil Temperature,Soil Temp.,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
442,0,Soil Moisture Percentage,Soil Moisture %,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
444,0,Soil Moisture Capilliary Pressure,S.M.C.Press. (Bars),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
450,0,Field Water Temperature,Field Water Temp. (Deg.C),,44,-0.00001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
451,0,Field Sample Temperature Degrees Celcius,Field Sample Temp (deg C),,44,-0.00001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
452,0,Field Water Temperature from DO Sensor,Field Water Temp. DO sensor (Deg.C),,1,-0.00001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
454,0,Water Temperature,Water Temp. (Deg.C),,40,-0.000001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
455,0,Field Air Temperature Degrees Celcius,Field Air Temp (deg C),,47,-5,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
460,0,Maximum Air Temperature,Max Temp. (Deg.C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
470,0,Minimum Air Temperature,Min Temp. (Deg.C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
480,0,Total Cloud Amount,Total Cloud,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
490,0,Stream Water Level,Level     (Metres),,400,-1.1,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
491,0,Stream Water Level,Level     (Metres),,400,-1.1,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
492,0,Stream Water Level,Level     (Metres),,400,-1.1,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
493,0,Stream Water Level,Level     (Metres),,400,-1.1,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
494,0,Stream Water Level,Level     (Metres),,400,-1.1,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
500,0,Wind Direction,Wind Direc (Deg),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
505,0,Wind Direction,Wind Direc (Deg),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,15/05/2014,1037,SPETCHEL
510,0,Wind Speed,Wind Speed (knots),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
515,0,Wind Velocity,Wind Vel. (M/s),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
516,0,Wind Velocity,Wind Vel. (Km/Hr),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
517,0,Wind Velocity,Wind Vel. (km/day),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
520,0,Wind Run (below 3m),Wind Run (km),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
522,0,Wind Run (below 3m),Wind Run (km),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
525,0,Station Level Pressure (barometer),Pressure (hPa.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
550,0,Station Level Pressure (barometer),Pressure (hPa.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
560,0,Surface Direction,Direction (Degrees),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
570,0,Surface Temperature,Surface Temp (Deg C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
600,0,Stream Cross Section Data,X-Sect    (Metres),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
630,0,Field Depth below water surface,Field Depth from surface (m),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
631,0,Distance from bottom,Distance from bottom (m),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
660,0,Sunshine Duration in Hours,Sunshine Duration,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
666,0,Conductivity,Conductivity (microsiemens/cm@25deg C),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
700,0,Evaporation from a U.S. Class A Pan,Evap.[US] (mm.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
702,0,Catchment Runoff Rate,Runoff Rate (mm/d),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
710,0,Evaporation from Australian Standard Pan,Evap.[Aus] (mm.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
720,0,Effective Evaporation,Eff. Evap. (Gl),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
740,0,Total Solar Radiation,Solar Rad. (Wh/Sq.m),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
750,0,Solar Radiation Intensity,Solar Rad. (W/Sq.M.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
760,0,Soil Moisture,Soil Moist. (%),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
770,0,Horizontal Visibility,Horizontal Vis.,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
772,0,Total Cloud Cover,Total Cloud Cover,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
774,0,Height of Cloud Base,Cloud Base Height,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
776,0,Current Weather,Current Weather,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
778,0,Past Weather,Past Weather,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
782,0,Cloud Type Low,Cloud Type Low,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
784,0,Cloud Type Medium,Cloud Type Medium,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
786,0,Cloud Type High,Cloud Type High,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
792,0,Cloud Direction Low,Cloud Direction Low,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
794,0,Cloud Direction Medium,Cloud Direction Med.,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
796,0,Cloud Direction High,Cloud Direction High,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
800,0,Calculated Salinity (Total Dissolved Salts),Calculated Salinity  (mg/L),,180000,-0.00001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
801,0,Total Salt Load,Salt Load (Mg/s),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
802,0,Salt Load,Salt (mg),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
804,0,Salt Tansport,Salt (Tonnes/Day),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
805,0,Salt Load,Salt (Tonnes),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
810,0,Field Turbidity,Field Turbidity (NTU),,4500,-0.000001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,14/02/2014,841,SPETCHEL
810,12,Turbidity (Laboratory),Turbidity Lab (NTU),,3000,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
810,13,Turbidity (Region),Turbidity Region (NTU),,3000,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
819,0,Field EC @ Field Temp Unadjusted (us/cm),Field EC @ Field Temp Unadjusted (us/cm),Field Temperature not adjusted to 25 C Deg,300000,-0.000001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
820,0,Field Conductivity,Field Conductivity (us/cm@25deg C),,300000,-0.00001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
830,0,Sediment Yield,Sediment  (T/Day),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
840,0,Sewer Discharge,Discharge (Cumecs),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
841,0,Sewer Discharge,Discharge Litres/sec,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
842,0,Sewer Discharge Volume,Sewer Discharge (Ml),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
844,0,Sewer Discharge,Discharge (Ml/Day),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
845,0,Total Suspended Solids (Laboratory),TSS (mg/L) (Laboratory),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
845,11,Total Solids,Total Solids (mg/L),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
845,12,Total Solids,Total Solids (mg/L),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
845,13,Total Suspended Solids,TSS (mg/L),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
850,0,Bedload Transport,Bedload   (T/Day),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
860,0,pH,pH,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
860,12,pH (Laboratory),pH (Laboratory),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
860,13,pH (Comparator),pH (Comparator),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
865,0,Percentage dissolved oxygen,Dissolved oxygen %,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
870,0,Pump Status,Pump Status,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
871,0,Pump Time,Pump Time (min),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
872,0,Pump Time,Pump Time (sec),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
873,0,Pump Time,Pump Time (hrs),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
880,0,Pump Discharge,Pump Rate (l/s),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
881,0,Pump Discharge,Pump Rate (cumecs),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
